frame,center_x,center_y,size_x,size_y
1,1726.0,1032.0,1200,1600
2,1739.5485,1060.4851,1200,1600
3,1742.7843,1086.2684,1200,1600
4,1744.006,1105.4766,1200,1600
5,1745.5079,1114.6852,1200,1600
6,1761.1431,1119.3158,1200,1600
7,1788.7318,1123.221,1200,1600
8,1803.2374,1127.9365,1200,1600
9,1805.4822,1129.733,1200,1600
10,1793.873,1115.3457,1200,1600
11,1809.0707,1086.8864,1200,1600
12,1835.6324,1091.8444,1200,1600
13,1843.2527,1093.9539,1200,1600
14,1794.8893,1111.1023,1200,1600
15,1782.5886,1128.1062,1200,1600
16,1808.9744,1156.7649,1200,1600
17,1828.6045,1147.919,1200,1600
18,1796.6671,1121.6768,1200,1600
19,1800.8633,1099.6123,1200,1600
20,1816.0212,1039.8296,1200,1600
21,1836.0311,1078.0325,1200,1600
22,1870.7003,1055.6357,1200,1600
23,1924.8307,1122.4617,1200,1600
24,1948.5526,1169.303,1200,1600
25,1888.8007,1114.5343,1200,1600
26,1816.6095,1088.8094,1200,1600
27,1795.7058,1106.9812,1200,1600
28,1830.7688,1114.4882,1200,1600
29,1880.9542,1106.3451,1200,1600
30,1887.2606,1143.5536,1200,1600
31,1925.014,1269.2217,1200,1600
32,2026.6484,1257.4985,1200,1600
33,2162.947,1135.6536,1200,1600
34,2270.6094,1002.4072,1200,1600
40,2417.9246,993.3415,1200,1600
41,2333.213,1047.7064,1200,1600
42,2243.3318,1028.0012,1200,1600
43,2173.2473,899.8328,1200,1600
44,2093.7942,898.57733,1200,1600
45,2027.7231,956.48083,1200,1600
46,1914.0487,1061.8433,1200,1600
47,1847.7544,1209.1543,1200,1600
48,1880.1709,1296.1017,1200,1600
49,1909.7079,1336.5184,1200,1600
50,1945.5261,1244.4176,1200,1600
51,1998.9551,1078.0907,1200,1600
52,2010.9479,991.3474,1200,1600
53,1996.2382,970.12286,1200,1600
54,1986.3169,934.4288,1200,1600
55,1943.5269,872.1834,1200,1600
56,1872.7236,901.75287,1200,1600
57,1823.8077,859.1446,1200,1600
58,1790.6233,907.4987,1200,1600
59,1773.922,977.9429,1200,1600
60,1721.4143,1040.7675,1200,1600
61,1726.5485,1014.2805,1200,1600
62,1741.9325,980.22577,1200,1600
63,1724.5332,1070.713,1200,1600
64,1812.4146,1071.0883,1200,1600
65,1951.1321,1065.4868,1200,1600
66,2041.2119,1093.6589,1200,1600
67,2089.5132,1084.6625,1200,1600
68,2103.5781,1051.4049,1200,1600
69,2121.489,1086.3783,1200,1600
70,2199.507,1108.037,1200,1600
71,2184.776,1125.505,1200,1600
72,2133.217,1095.5487,1200,1600
73,2018.6304,1066.867,1200,1600
74,1946.665,1144.8271,1200,1600
75,1943.5183,1169.3789,1200,1600
76,1910.9727,1239.9591,1200,1600
77,1902.7942,1291.5502,1200,1600
78,1922.7611,1301.7432,1200,1600
79,2046.1031,1256.1765,1200,1600
80,2204.798,1222.9407,1200,1600
81,2317.45,1214.8865,1200,1600
82,2344.4998,1149.1007,1200,1600
83,2325.7942,1113.0159,1200,1600
84,2397.8882,1121.3894,1200,1600
85,2515.0706,1175.9055,1200,1600
86,2517.1794,1171.7489,1200,1600
87,2421.8787,1103.0018,1200,1600
88,2366.2234,1053.5242,1200,1600
89,2336.7354,1107.6727,1200,1600
90,2346.7385,1151.7739,1200,1600
91,2362.25,1239.636,1200,1600
92,2434.4114,1181.7382,1200,1600
93,2568.9521,1142.2742,1200,1600
94,2642.9275,1128.5951,1200,1600
95,2677.194,1137.2291,1200,1600
96,2667.693,1104.1559,1200,1600
97,2626.11,1044.8752,1200,1600
98,2630.2168,1028.4524,1200,1600
99,2644.8628,1052.9966,1200,1600
100,2586.746,1042.7645,1200,1600
101,2474.8213,1041.0938,1200,1600
102,2346.7192,1004.8136,1200,1600
103,2221.3152,1086.0532,1200,1600
104,2155.3965,1199.9714,1200,1600
105,2163.6865,1180.2032,1200,1600
106,2195.201,1099.8932,1200,1600
107,2286.557,987.87036,1200,1600
108,2294.331,985.3986,1200,1600
109,2296.0269,964.7613,1200,1600
110,2278.5388,962.0427,1200,1600
111,2295.6975,958.8557,1200,1600
112,2366.1335,941.9114,1200,1600
113,2429.9578,952.5388,1200,1600
114,2448.5034,958.84503,1200,1600
115,2331.9644,650.0411,1200,1600
116,2141.0066,658.5343,1200,1600
117,2011.9084,675.77155,1200,1600
118,1893.661,655.6667,1200,1600
119,1825.012,736.1908,1200,1600
120,1795.3761,756.825,1200,1600
121,1801.1918,781.52435,1200,1600
122,1863.3948,725.6124,1200,1600
123,1917.7861,694.04565,1200,1600
124,1955.063,688.24396,1200,1600
125,1986.7047,678.6004,1200,1600
126,2038.6088,661.6057,1200,1600
127,2002.0406,565.68506,1200,1600
128,1935.1636,575.0049,1200,1600
129,1861.0392,548.48846,1200,1600
130,1677.863,599.2757,1200,1600
131,1548.151,592.22107,1200,1600
132,1396.8595,625.0655,1200,1600
133,1259.094,634.9021,1200,1600
