frame,center_x,center_y,size_x,size_y
1,761.0,672.0,1400,800
2,768.79034,670.0535,1400,800
3,779.9745,671.8861,1400,800
4,790.1401,669.3548,1400,800
5,805.7915,656.0884,1400,800
6,823.09607,648.3958,1400,800
7,838.7353,649.54785,1400,800
8,837.63696,666.32666,1400,800
9,830.05536,679.9184,1400,800
10,815.4571,667.0894,1400,800
11,810.7598,639.8674,1400,800
12,819.7901,620.045,1400,800
13,829.40826,614.48474,1400,800
14,834.5946,608.64435,1400,800
15,839.2325,592.74255,1400,800
16,833.6959,585.1051,1400,800
17,826.8183,583.4091,1400,800
18,819.9412,576.1142,1400,800
19,812.4705,562.9848,1400,800
20,808.07043,554.0351,1400,800
21,804.7877,564.7689,1400,800
22,808.3488,576.5157,1400,800
23,810.3979,584.29584,1400,800
24,815.53217,572.61346,1400,800
25,824.961,548.17865,1400,800
26,832.5404,512.49664,1400,800
27,834.3469,473.0215,1400,800
28,833.8688,449.33176,1400,800
29,833.6085,453.04166,1400,800
30,839.4444,462.72458,1400,800
32,904.19165,608.16077,1400,800
33,897.4324,616.5624,1400,800
34,888.1598,620.32745,1400,800
35,881.5632,612.6195,1400,800
36,880.3438,584.3674,1400,800
37,881.1263,551.38257,1400,800
38,880.7543,536.02954,1400,800
39,867.9367,537.20465,1400,800
40,858.20087,549.7053,1400,800
41,851.03064,540.49255,1400,800
42,851.3254,510.18356,1400,800
43,852.8565,491.17767,1400,800
44,857.7331,496.0729,1400,800
45,855.9879,505.96185,1400,800
46,861.10284,515.49805,1400,800
47,870.7895,511.25757,1400,800
48,867.9553,504.07394,1400,800
49,859.4738,498.32672,1400,800
50,850.6796,498.0927,1400,800
51,842.1143,497.6964,1400,800
52,846.7377,497.20755,1400,800
53,851.69214,511.11343,1400,800
54,849.91846,516.15137,1400,800
55,847.3163,520.1559,1400,800
56,836.30225,517.3632,1400,800
57,827.43713,515.1854,1400,800
58,830.51495,504.5811,1400,800
59,832.8261,481.12836,1400,800
60,829.43475,466.49496,1400,800
61,828.14703,470.20404,1400,800
62,822.83215,480.2474,1400,800
63,816.1997,481.95706,1400,800
64,813.9456,482.91083,1400,800
65,809.3307,479.8344,1400,800
66,805.8991,480.72168,1400,800
67,800.09906,472.33258,1400,800
68,791.05176,462.2258,1400,800
69,787.5786,449.62088,1400,800
70,784.73926,432.10468,1400,800
71,790.73376,425.0045,1400,800
72,797.7748,427.7224,1400,800
73,809.16943,440.68228,1400,800
74,816.7646,454.74597,1400,800
75,818.87177,452.54312,1400,800
76,815.3494,443.10086,1400,800
77,813.8916,435.15134,1400,800
78,805.22534,431.65912,1400,800
79,797.4901,422.92758,1400,800
80,798.6258,416.56763,1400,800
81,805.4333,412.16562,1400,800
82,813.41125,404.46475,1400,800
83,813.5364,404.9855,1400,800
84,819.1279,403.9827,1400,800
85,822.85126,398.67734,1400,800
86,832.5137,403.0029,1400,800
87,837.98035,394.04102,1400,800
88,834.7027,395.41534,1400,800
89,827.6385,393.23273,1400,800
90,813.4705,372.82416,1400,800
91,804.7804,343.10614,1400,800
92,804.38983,328.72678,1400,800
93,808.02545,350.6912,1400,800
94,804.6108,377.44443,1400,800
95,815.12537,399.7132,1400,800
96,811.63605,401.42966,1400,800
97,816.3259,384.54465,1400,800
98,818.40704,376.0262,1400,800
99,814.99445,369.3142,1400,800
100,800.7022,377.3113,1400,800
101,793.9636,380.19702,1400,800
102,795.77136,371.41626,1400,800
103,803.2886,365.13443,1400,800
104,820.23865,375.79843,1400,800
105,830.63153,388.8064,1400,800
106,833.50604,398.28018,1400,800
107,824.9203,383.58847,1400,800
108,819.2795,371.5329,1400,800
109,812.9157,365.2777,1400,800
110,805.94025,373.62198,1400,800
111,800.41534,393.14246,1400,800
112,796.778,410.43292,1400,800
113,803.2595,426.03488,1400,800
114,805.9176,429.4414,1400,800
115,801.90234,429.0696,1400,800
116,791.17883,424.2094,1400,800
117,776.57526,422.31387,1400,800
118,768.9813,414.33255,1400,800
119,767.5723,413.0234,1400,800
120,771.9469,412.78085,1400,800
121,768.5496,410.23358,1400,800
122,763.73224,397.78412,1400,800
123,752.00555,391.7179,1400,800
124,737.93195,394.6585,1400,800
125,713.605,397.7785,1400,800
126,692.8827,406.9932,1400,800
127,679.47406,403.67078,1400,800
128,672.8835,400.23126,1400,800
129,657.73004,392.81046,1400,800
130,654.5015,365.86353,1400,800
131,671.46533,317.08456,1400,800
132,691.3258,250.32228,1400,800
133,703.54205,191.16998,1400,800
134,712.7858,179.1555,1400,800
135,711.2306,197.83789,1400,800
136,714.1106,211.65372,1400,800
137,736.81854,239.8598,1400,800
138,750.2798,250.21663,1400,800
139,763.1431,260.4754,1400,800
140,776.7404,267.917,1400,800
141,783.18256,266.00815,1400,800
142,772.48785,264.381,1400,800
143,774.5876,275.30954,1400,800
144,783.2855,306.6524,1400,800
145,805.29083,345.89825,1400,800
146,819.0997,365.254,1400,800
147,831.8412,360.25757,1400,800
148,842.16797,354.00143,1400,800
149,849.1973,349.02255,1400,800
150,851.3951,341.59186,1400,800
151,849.96967,329.11108,1400,800
